originalScore,sentence,compoundScore,positiveScore,neutralScore,negativeScore
0,"@sekseemess no. I'm not itchy for now. Maybe later, lol.",0.343,0.334,0.507,0.159
4,RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR,0.5267,0.233,0.611,0.156
4,"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane.",0.0102,0.14,0.688,0.172
4,"I'm listening to P.Y.T by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)",0.846,0.324,0.676,0.0
4,is going to sleep then on a bike ride:],0.0,0.0,1.0,0.0
0,cant sleep... my tooth is aching.,-0.4939,0.0,0.61,0.39
0,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess.",-0.5267,0.0,0.632,0.368
0,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf",-0.5574,0.139,0.556,0.306
2,is in San Francisco at Bay to Breakers.,0.0,0.0,1.0,0.0
2,just landed at San Francisco,0.0,0.0,1.0,0.0
2,San Francisco today.  Any suggestions?,0.0,0.0,1.0,0.0
0,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg,0.34,0.243,0.608,0.149
0,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?,-0.3612,0.0,0.902,0.098
0,ShaunWoo hate'n on AiG,0.0,0.0,1.0,0.0
4,@YarnThing you will not regret going to see Star Trek. It was AWESOME!,0.8155,0.404,0.596,0.0
2,On my way to see Star Trek @ The Esquire.,0.0,0.0,1.0,0.0
2,Going to see star trek soon with my dad.,0.0,0.0,1.0,0.0
0,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.,-0.4019,0.0,0.87,0.13
2,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50,0.0,0.0,1.0,0.0
4,Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell,0.4201,0.358,0.642,0.0
4,Blink by malcolm gladwell amazing book and The tipping point!,0.6239,0.313,0.687,0.0
4,Malcolm Gladwell might be my new man crush,-0.1531,0.0,0.814,0.186
0,omg. The commercials alone on ESPN are going to drive me nuts.,-0.5106,0.0,0.699,0.301
4,@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.,0.8689,0.351,0.649,0.0
2,playing with cURL and the Twitter API,0.2023,0.231,0.769,0.0
4,Hello Twitter API ;),0.2263,0.388,0.612,0.0
2,playing with Java and the Twitter API,0.2023,0.231,0.769,0.0
0,@morind45 Because the twitter api is slow and most client's aren't good.,-0.3959,0.0,0.805,0.195
0,yahoo answers can be a butt sometimes,0.0,0.0,1.0,0.0
4,is scrapbooking with Nic =D,0.6166,0.502,0.498,0.0
4,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR,0.4404,0.182,0.818,0.0
4,just changed my default pic to a Nike basketball cause bball is awesome!!!!!,0.0,0.0,1.0,0.0
2,"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding",0.0,0.0,1.0,0.0
2,"'Next time, I'll call myself Nike'",0.0,0.0,1.0,0.0
2,New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT,-0.2732,0.0,0.826,0.174
0,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(,-0.3612,0.0,0.8,0.2
4,Back when I worked for Nike we had one fav word : JUST DO IT! :),0.7424,0.344,0.656,0.0
4,"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9",0.2484,0.218,0.625,0.156
2,"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given.",0.2263,0.121,0.804,0.075
2,"Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t",0.0,0.0,1.0,0.0
4,Class... The 50d is supposed to come today :),0.4588,0.273,0.727,0.0
0,needs someone to explain lambda calculus to him! :(,-0.4926,0.0,0.715,0.285
0,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.,-0.2648,0.1,0.758,0.142
4,SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......,0.5255,0.204,0.705,0.091
0,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.",-0.34,0.0,0.893,0.107
4,@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!,0.8928,0.386,0.614,0.0
2,"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9",0.0,0.0,1.0,0.0
2,New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo,0.5719,0.316,0.684,0.0
4,@ work til 6pm... lets go lakers!!!,0.0,0.0,1.0,0.0
0,Damn you North Korea. http://bit.ly/KtMeQ,-0.4019,0.0,0.597,0.403
0,Can we just go ahead and blow North Korea off the map already?,0.0,0.0,1.0,0.0
0,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl",0.049,0.149,0.714,0.137
0,Why the hell is Pelosi in freakin China? and on whose dime?,-0.7149,0.0,0.689,0.311
0,Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where bailout means taking a handout!,-0.4389,0.0,0.814,0.186
0,insects have infected my spinach plant :(,-0.7269,0.0,0.45,0.55
0,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects,0.4404,0.22,0.656,0.125
0,"just got back from church, and I totally hate insects.",-0.6115,0.0,0.667,0.333
0,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it,-0.6642,0.189,0.531,0.28
4,omgg i ohhdee want mcdonalds damn i wonder if its open lol =],0.4588,0.409,0.427,0.165
0,History exam studying ugh,-0.4215,0.0,0.517,0.483
0,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...",-0.8715,0.0,0.603,0.397
0,"Higher physics exam tommorow, not lookin forward to it much :(",-0.4404,0.0,0.775,0.225
0,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:(",0.4019,0.184,0.816,0.0
0,Cheney and Bush are the real culprits - http://fwix.com/article/939496,0.0,0.0,1.0,0.0
0,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ,-0.8289,0.0,0.627,0.373
0,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg",-0.936,0.0,0.386,0.614
0,"The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump. -- Neal Boortz (just now, on the radio)",-0.1779,0.103,0.728,0.169
0,is Twitter's connections API broken? Some tweets didn't make it to Twitter...,-0.4767,0.0,0.78,0.22
0,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(",-0.9036,0.0,0.417,0.583
4,@psychemedia I really liked @kswedberg's Learning jQuery book. http://bit.ly/pg0lT is worth a look too,0.6115,0.333,0.667,0.0
2,jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631,0.0,0.0,1.0,0.0
4,"Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT",0.4576,0.158,0.842,0.0
4,Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!,0.6892,0.438,0.562,0.0
4,"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*",0.5411,0.259,0.741,0.0
4,The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!,0.7772,0.274,0.726,0.0
4,top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9,0.7184,0.286,0.714,0.0
4,zomg!!! I have a G2!!!!!!!,0.0,0.0,1.0,0.0
4,Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl,0.8843,0.463,0.537,0.0
4,just got a free G2 android at google i/o!!!,0.6341,0.374,0.626,0.0
4,Guess I'll be retiring my G1 and start using my developer G2 woot #googleio,0.7125,0.331,0.669,0.0
2,At GWT fireside chat @googleio,0.0,0.0,1.0,0.0
4,I am happy for Philip being at GoogleIO today,0.5719,0.346,0.654,0.0
4,Lakers played great!  Cannot wait for Thursday night Lakers vs. ???,0.8091,0.449,0.551,0.0
2,"Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8",0.6249,0.255,0.745,0.0
4,Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK,0.4939,0.258,0.615,0.127
2,"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz",0.0,0.0,1.0,0.0
0,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!,-0.7019,0.0,0.813,0.187
4,watching Night at The Museum . Lmao,0.5994,0.438,0.562,0.0
4,i loved night at the museum!!!,0.6981,0.544,0.456,0.0
2,going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin,0.0,0.0,1.0,0.0
4,just got back from the movies.  went to see the new night at the museum with rachel.  it was good,0.4404,0.132,0.868,0.0
2,Just saw the new Night at the Museum movie...it was...okay...lol 7\10,0.0,0.0,1.0,0.0
2,Going to see night at the museum 2 with tall boy,0.0,0.0,1.0,0.0
4,@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good,0.4404,0.146,0.854,0.0
4,no watching The Night At The Museum. Getting Really Good,0.2484,0.238,0.597,0.164
4,"Night at the Museum, Wolverine and junk food - perfect monday!",0.6114,0.307,0.693,0.0
4,saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!,0.9142,0.394,0.557,0.05
2,I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.,-0.1779,0.088,0.791,0.121
2,Taking Katie to see Night at the Museum.  (she picked it),0.0,0.0,1.0,0.0
0,Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL,0.8331,0.425,0.47,0.105
2,GM says expects announcment on sale of Hummer soon - Reuters: WDSUGM says expects announcment on sale of Hummer .. http://bit.ly/4E1Fv,0.0,0.0,1.0,0.0
0,It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable,-0.0772,0.088,0.814,0.098
0,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.,0.6662,0.206,0.794,0.0
0,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha,0.8597,0.442,0.558,0.0
0,Time Warner cable is down again 3rd time since Memorial Day bummer!,-0.4389,0.0,0.792,0.208
0,"I would rather pay reasonable yearly taxes for free fast internet, than get gouged by Time Warner for a slow connection.",0.4404,0.152,0.783,0.065
0,NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner,-0.8074,0.0,0.687,0.313
0,F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!!,-0.8902,0.0,0.643,0.357
0,time warner has the worse customer service ever. I will never use them again,-0.4767,0.0,0.795,0.205
0,Time warner is the devil. Worst possible time for the Internet to go out.,-0.8591,0.0,0.585,0.415
0,Fuck no internet damn time warner!,-0.8268,0.0,0.257,0.743
0,time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff.,-0.6794,0.0,0.798,0.202
0,I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.,0.6239,0.288,0.59,0.121
0,Ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. Pretty good end for a monday :),0.6908,0.289,0.603,0.108
0,Time Warner's HD line up is crap.,-0.3818,0.0,0.698,0.302
0,is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!,-0.8016,0.0,0.676,0.324
2,Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk),0.0,0.0,1.0,0.0
0,Time Warner Cable slogan: Where calling it a day at 2pm Happens.,0.0,0.0,1.0,0.0
2,"Rocawear Heads to China, Building 300 Stores  - http://tinyurl.com/nofet3",0.0,0.0,1.0,0.0
2,"Climate focus turns to Beijing: The United Nations, the US and European governments have called on China to co-o.. http://tinyurl.com/lto92n",0.4215,0.128,0.872,0.0
2,myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba,0.0,0.0,1.0,0.0
2,"Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested   http://bit.ly/mMiDv",0.0,0.0,1.0,0.0
2,http://xi.gs/04FO GM CEO: China will continue to be key partner,0.0,0.0,1.0,0.0
2,RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu,0.0,0.0,1.0,0.0
0,Recovering from surgery..wishing @julesrenner was here :(,-0.4404,0.0,0.674,0.326
4,"My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt!",-0.8491,0.099,0.596,0.304
2,Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why?,0.6486,0.29,0.627,0.082
0,THE DENTIST LIED!  U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!,-0.9333,0.0,0.575,0.425
0,@kirstiealley my dentist is great but she's expensive...=(,0.3716,0.267,0.733,0.0
2,@kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml,0.0,0.0,1.0,0.0
4,is studing math ;) tomorrow exam and dentist :),0.5994,0.412,0.588,0.0
0,my dentist was wrong... WRONG,-0.5904,0.0,0.511,0.489
0,Going to the dentist later.:|,0.0,0.0,1.0,0.0
0,Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?,0.3382,0.192,0.692,0.116
2,NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx,0.5994,0.394,0.606,0.0
2,just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR,0.2023,0.205,0.795,0.0
2,Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday.,0.5994,0.328,0.672,0.0
2,Sony coupon code.. Expires soon.. http://www.coupondork.com/r/1796,0.0,0.0,1.0,0.0
2,waiting in line at safeway.,0.0,0.0,1.0,0.0
0,luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that?,-0.4019,0.0,0.85,0.15
2,Did not realize there is a gym above Safeway!,0.0,0.0,1.0,0.0
2,@XPhile1908 I have three words for you: Safeway dot com,0.0,0.0,1.0,0.0
4,Safeway is very rock n roll tonight,0.0,0.0,1.0,0.0
2,Bout to hit safeway I gotta eat,0.0,0.0,1.0,0.0
2,Jake's going to safeway!,0.0,0.0,1.0,0.0
2,Found a safeway. Picking up a few staples.,0.0,0.0,1.0,0.0
2,Safeway Super-marketing via mobile coupons http://bit.ly/ONH7w,0.0,0.0,1.0,0.0
0,The safeway bathroom still smells like ass!,-0.3164,0.221,0.443,0.336
0,"At safeway on elkhorn, they move like they're dead!",-0.4753,0.177,0.497,0.326
2,Your Normal Weight (and How to Get There) ? Normal Eating Blog http://bit.ly/ZeT8O,0.0,0.0,1.0,0.0
2,Is Eating and Watching Movies....,0.0,0.0,1.0,0.0
2,eating sashimi,0.0,0.0,1.0,0.0
2,is eating  home made yema,0.0,0.0,1.0,0.0
2,eating cake,0.0,0.0,1.0,0.0
4,i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol.,0.7762,0.388,0.512,0.1
0,Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic,-0.4003,0.0,0.803,0.197
2,iPhone May Get Radio Tagging and Nike  : Recently-released iTunes version 8.2 suggests that VoiceOver functional.. http://tinyurl.com/oq5ctc,0.0,0.0,1.0,0.0
4,is lovin his Nike  already and that's only from running on the spot in his bedroom,0.0,0.0,1.0,0.0
2,Launched! http://imgsearch.net  #imgsearch #ajax #jquery #webapp,0.2003,0.264,0.736,0.0
4,@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations.,0.0516,0.165,0.68,0.155
2,RT @jquery: The Ultimate jQuery List - http://jquerylist.com/,0.0,0.0,1.0,0.0
2,I just extracted and open-sourced a jQuery plugin from Stormweight to highlight text with a regular expression: http://bit.ly/ybJKb,0.34,0.146,0.854,0.0
2,@anna_debenham what was the php jquery hack?,0.0,0.0,1.0,0.0
2,jQuery Cheat Sheet http://www.javascripttoolbox.com/jquery/cheatsheet/,-0.4588,0.0,0.5,0.5
2,Beginning JavaScript and CSS Development with jQuery #javascript #css #jquery http://bit.ly/TO3e5,0.0,0.0,1.0,0.0
4,"@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style.",0.6909,0.299,0.701,0.0
4,RT @blknprecious1: RT GREAT @dbroos Someone's sitting in the shade today because someone planted a tree a long time ago.- Warren Buffet,0.7034,0.203,0.797,0.0
2,Warren Buffet on the economy http://ping.fm/Lau0p,0.0,0.0,1.0,0.0
4,"Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune",0.4767,0.151,0.849,0.0
4,"According to the create a school, Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating :) *sweet*",0.6249,0.221,0.779,0.0
2,All-Star Basketball Classic Tuesday Features Top Talent: Chattanooga's Notre Dame High School will play host.. http://bit.ly/qltJA,0.7184,0.35,0.65,0.0
4,@BlondeBroad it's definitely under warranty &amp; my experience is the amazon support for kindle is great! had to contact them about my kindle2,0.8883,0.377,0.623,0.0
2,"RT Look, Available !Amazon Kindle2 &amp; Kindle DX, Get it Here: http://short.to/87ub The Top Electronic Book Reader Period, free 2 day ship ...",0.0923,0.238,0.604,0.159
0,Time Warner Road Runner customer support here absolutely blows. I hate not having other high-speed net options. I'm ready to go nuclear.,0.0571,0.191,0.662,0.146
0,Time Warner cable phone reps r dumber than nails!!!!! UGH! Cable was working 10 mins ago now its not WTF!,-0.5554,0.135,0.597,0.269
0,@siratomofbones we tried but Time Warner wasn't being nice so we recorded today. :),0.2505,0.211,0.632,0.158
0,OMG - time warner f'ed up my internet install - instead of today  its now NEXT saturday - another week w/o internet! &amp;$*ehfa^V9fhg[*# fml.,0.0,0.0,1.0,0.0
0,"wth..i have never seen a line this loooong at time warner before, ugh.",-0.4215,0.0,0.797,0.203
0,Impatiently awaiting the arrival of the time warner guy. It's way too pretty to be inside all afternoon,0.128,0.146,0.731,0.123
2,Man accosts Roger Federer during French Open http://ff.im/3HCPT,0.0,0.0,1.0,0.0
0,Naive Bayes using EM for Text Classification. Really Frustrating...,-0.2732,0.0,0.792,0.208
4,We went to Stanford University today. Got a tour. Made me want to go back to college. It's also decided all of our kids will go there.,0.0772,0.049,0.951,0.0
2,Investigation pending on death of Stanford CS prof / Google mentor Rajeev Motwani http://bit.ly/LwOUR tip @techmeme,-0.5994,0.0,0.782,0.218
2,"I'm going to bed. It was a successful weekend. Stanford, here I come.",0.5859,0.275,0.725,0.0
0,"@KarrisFoxy If you're being harassed by calls about your car warranty, changing your number won't fix that. They call every number. #d-bags",-0.4404,0.104,0.757,0.139
0,Just blocked United Blood Services using Google Voice. They call more than those Car Warranty guys.,0.1779,0.148,0.741,0.111
0,#at&amp;t is complete fail.,-0.5423,0.0,0.462,0.538
0,@broskiii OH SNAP YOU WORK AT AT&amp;T DON'T YOU,0.0,0.0,1.0,0.0
0,@Mbjthegreat i really dont want AT&amp;T phone service..they suck when it comes to having a signal,-0.5268,0.0,0.732,0.268
0,"I say we just cut out the small talk: AT&amp;T's new slogan: F__k you, give us your money. (Apologies to Bob Geldof.)",-0.2732,0.0,0.905,0.095
0,pissed about at&amp;t's mid-contract upgrade price for the iPhone (it's $200 more) I'm not going to pay $499 for something I thought was $299,-0.5999,0.049,0.793,0.159
0,Safari 4 is fast :) Even on my shitty AT&amp;T tethering.,-0.1531,0.205,0.548,0.247
0,@ims What is AT&amp;T fucking up?,0.0,0.0,1.0,0.0
0,@springsingfiend @dvyers @sethdaggett @jlshack AT&amp;T dropped the ball and isn't supporting crap with the new iPhone 3.0... FAIL #att SUCKS!!!,-0.8613,0.075,0.553,0.371
0,"@MMBarnhill yay, glad you got the phone! Still, damn you, AT&amp;T.",0.6114,0.385,0.46,0.155
2,Google Wave Developer Sandbox Account Request http://bit.ly/2NYlc,0.0,0.0,1.0,0.0
0,"Talk is Cheap: Bing that, I?ll stick with Google. http://bit.ly/XC3C8",0.0,0.0,1.0,0.0
0,"@defsounds WTF is the point of deleting tweets if they can still be found in summize and searches? Twitter, please fix that. Thanks and bye",-0.0857,0.164,0.693,0.143
2,@mattcutts have google profiles stopped showing up in searches? cant see them anymore,-0.2263,0.0,0.863,0.137
4,@ArunBasilLal I love Google Translator too ! :D Good day mate !,0.9139,0.661,0.339,0.0
4,reading on my new Kindle2!,0.0,0.0,1.0,0.0
4,My Kindle2 came and I LOVE it! :),0.8491,0.622,0.378,0.0
4,LOVING my new Kindle2.  Named her Kendra in case u were wondering. The cookbook is THE tool cuz it tells u all the tricks!  Best gift EVR!,0.9156,0.354,0.603,0.043
0,The real AIG scandal / http://bit.ly/b82Px,-0.4404,0.0,0.58,0.42
2,Any twitter to aprs apps yet?,0.0,0.0,1.0,0.0
2,45 Pros You Should Be Following on Twitter - http://is.gd/sMbZ,0.0,0.0,1.0,0.0
4,Obama is quite a good comedian! check out his dinner speech on CNN :) very funny jokes.,0.9305,0.574,0.426,0.0
4,' Barack Obama shows his funny side  &gt;&gt; http://tr.im/l0gY !! Great speech..,0.8217,0.457,0.543,0.0
4,I like this guy : ' Barack Obama shows his funny side  &gt;&gt; http://tr.im/l0gY !!,0.717,0.374,0.626,0.0
4,Obama's speech was pretty awesome last night! http://bit.ly/IMXUM,0.8221,0.559,0.441,0.0
4,Reading  Bill Clinton Fail - Obama Win? http://tinyurl.com/pcyxj7,0.0772,0.309,0.407,0.285
4,Obama More Popular Than U.S. Among Arabs: Survey: President Barack Obama's popularity in leading Arab countries .. http://tinyurl.com/prlvqu,0.7346,0.279,0.721,0.0
4,Obama's got JOKES!! haha just got to watch a bit of his after dinner speech from last night... i'm in love with mr. president ;),0.9084,0.383,0.617,0.0
0,LEbron james got in a car accident i guess..just heard it on evening news...wow i cant believe it..will he be ok ? http://twtad.com/69750,-0.2263,0.099,0.762,0.139
4,is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals,0.6369,0.167,0.833,0.0
4,"@khalid0456 No, Lebron is the best",0.4588,0.404,0.385,0.212
4,@the_real_usher LeBron is cool.  I like his personality...he has good character.,0.7717,0.524,0.476,0.0
4,Watching Lebron highlights. Damn that niggas good,-0.296,0.242,0.333,0.425
4,@Lou911 Lebron is MURDERING shit.,-0.8636,0.0,0.258,0.742
4,@uscsports21 LeBron is a monsta and he is only 24. SMH The world ain't ready.,-0.6301,0.0,0.7,0.3
